X,ERR525691,ERR525707,ERR525711,ERR525724,ERR525736,ERR525740,ERR525745,ERR525749,ERR525762,ERR525766,ERR525782,ERR525786,ERR525808,ERR525818,ERR525834,ERR525838,ERR525846,ERR525850,ERR525854,ERR525862,ERR525866,ERR525874,ERR525878,ERR525883,ERR525888,ERR525892,ERR525894,ERR525900,ERR525927,ERR525930,ERR525934,ERR525938,ERR525966,ERR525970,ERR525982,ERR525986,ERR525990,ERR525994,ERR525998,ERR526014,ERR526022,ERR526030,ERR526034,ERR526038,ERR526046,ERR526074,ERR526078,ERR526082
20298_2_33,0.156259886032322,0,0,25.8613875193607,0.295053637272636,0,0,0,0,0.214100593074515,0.549934366351773,0,0,4.98751123307437,0,0,0,0.119074812099062,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135626196004769,0,0.297609451569381,0.243265204326681,0,0,0,0,0,0.196172555578786,0.114836526987186,0,0.162748242840051,0.219187894483614,0,0,0.225845845238869
20298_2_47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112526634408884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20298_2_49,0,0,0,0,0,0.416091700978492,0,0,0,0.422925239614042,0,5.50727274903372,0.205789366598218,0,0,0,0,0,0,6.7474955751685,0,0,0,0,0.307967631013787,0,0,4.55435810322843,0,0.151457448663591,0,0.119387883879278,0,0,0.117403311830437,0,0.476062448096243,0,0,0,11.6668757404697,0,5.01138186090798,0,0,0.594030974070032,0,0.227206426916462
20298_2_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43850651225992,0,0.219865171953465,0,0,0,0,0,0,0,0,0,0.193441672263548,0,0,0,0,0,0,0,0,0,0,1.05621848499123
20298_2_67,0,0,0.24937291525608,0,0,0.208800949936375,0.298535392861924,0.456841159614985,0,0,0.218996085444973,0,0,0,0,0,0,0,0,0,0,0,0,0.169606779442515,0,0,0,0,0,0,0.195789418402671,0,0,0,0,0,0,4.66043819992087,0,0,0,7.4191880064101,0,0.124967601721591,0,0,0,0
20298_2_7,0,0.305109669720157,0,0.396090231342975,0.128345478020793,0,0,0,0,0,0,0.38083206472588,0,0.223678429456293,0.805807557248584,0.206525283614707,3.50924799166934,4.01012036993832,0.159488655879991,0.331065869822626,0.26978365262778,0.243484887112617,0,0,0,0.198567536109201,0.271232244556847,0,0.159779237810732,0,0.120226621245856,0,0.521037887753016,0,0,0,0.141014747362394,0,0,0.181101941383045,0,0,0,0.233954116047229,0.17954557418608,0.188332687375481,0.213214232781388,0
20298_3_1,0,0,0,0,0,0,0,0,0,0,0,0,0.125722867522076,0,0,0,0,0,0,0,0,0,0,0.326914134873889,0.17683073713929,0,0,0.243684797701742,0,0,0,0.119387883879278,0,0,0.12773909401785,0,0,0,0,0,0.112665690988919,0,0.123287728819544,0,0,0,0,0.586935651878787
20298_3_11,5.80837238922988,0,0,0,12.1250770195191,1.29504872784355,0,0,0,9.78933995002606,40.0819323449831,0,4.83768069964548,0,0,0,1.82731781079821,6.97785613440082,0,1.09330354871257,4.85231859393654,0,9.27009527834949,0.196642735555892,0,0,0,0,0,4.20678861239017,0,7.45456603679565,0.929158801408622,13.1059872927326,8.86854806954406,0,0,0,0,2.5347506685618,12.1162450344972,6.27596499717887,0,9.88137643980313,10.5581441003515,0,0,12.555919103456
20298_3_12,0,0,0,0.324337422760161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20298_3_13,0,0,0.21300403590376,0,0,0.146989147306608,0.288816668173536,6.71664147298792,0,0,0.204396346415308,0,0,0,0,0,0,0,0,0,0,0,0,0.167146894640287,0,0,0,0,0,0,0.206101066380275,0,0,0,0,0,0,4.04948714826073,0.388499076208571,0,0,1.18829984718733,0,0.114793726365294,0,0,0,0
