TranslatedReaction	VMHreaction
rxn01245	4MOPOX
rxn06031	4MOPOX
rxn11318	4MOPte
rxn13113	4MOPte
rxn27618	4NTPPH
rxn02166	4NTPPH2
rxn08007	4PCP
rxn11754	56DFURADH
rxn39244	56DURAtd
rxn02938	5AIZCDC
rxn33097	5AIZCDC
rxn38026	5AIZCDC
rxn09702	5AOPt2
rxn02029	5APTLPO
rxn12566	5APTNt2r
rxn14291	5BDHTOR
rxn02884	5C2O3EDCL
rxn03041	5C2O3EDDC
rxn03040	5CM2HMUDI
rxn03056	5CMHMSADH
rxn12146	5DGCLURI
rxn39904	5DGCLURI
rxn01278	5DGLCNR
rxn07900	5FCHDCOR
rxn02431	5FMFURT
rxn34419	5FURAt
rxn02791	5GLUP5T1
rxn02792	5GLUP5T2
rxn06608	5GP5GT
rxn11577	5GPAA5GT
rxn06817	5GPEPGT
rxn06025	5GPT5GT
rxn04424	5HCOHOR
rxn04453	5HISAH
rxn01948	5HLTDL
rxn00108	5HMDOCPT
rxn11631	5HOXINDACTO2OX
rxn33775	5HOXINDACTO2OX
rxn03360	5HXKYNDCL
rxn07881	5MHX4COAR
rxn13799	5MTAte
rxn31810	5MTAte
rxn34351	5MTAte
rxn11944	5MTHCYST
rxn13150	5MTHFCL
rxn02283	5MTHFGLUNFT
rxn00909	5MTHFOR
rxn05942	5MTHFOX
rxn14396	5MTHFOX
rxn09789	5MTHFt
rxn33529	5MTHFt
rxn33530	5MTHFt
rxn12215	5MTHGLUS
rxn05481	5MTRt2r
rxn00044	6AMHNTAH
rxn03880	6CHEX2ECOAH
rxn03881	6HCHECCOAH
rxn03644	6P3HXI
rxn10852	6PGALSZ
rxn11243	6PGALSZ
rxn02332	6PGALSZ2i
rxn01475	6PGCNOR
rxn05482	6PGCt2r
rxn30235	6PGCt2r
rxn30236	6PGCt2r
rxn09992	6PHBG
rxn03482	6PHBG2
rxn32922	7DHCHSTEROLtd
rxn07756	7MXNTHNOR
rxn07755	7MXTHNOR
rxn06306	A1PNT
rxn01117	A5PISO
rxn32027	A5PISO
rxn32028	A5PISO
rxn32044	A5PISO
rxn02552	A6PT
rxn07053	AAACDH
rxn05778	AAAOR
rxn05735	AACGLYDH
rxn00988	AACOAT
rxn08014	AACPS1
rxn10752	AACPS11
rxn08015	AACPS2
rxn08016	AACPS3
rxn08017	AACPS4
rxn08018	AACPS5
rxn08019	AACPS6
rxn08020	AACPS7
rxn08021	AACPS8
rxn08022	AACPS9
rxn01833	AACTOOR
rxn32908	AACTte
rxn08023	AADDGT
rxn06675	AADPSAEDH
rxn06802	AADPSAEDH2
rxn01664	AADSACYCL
rxn06615	AAEAAH
rxn00936	AAGAAH
rxn06567	AAGAH
rxn06314	AAGCPT
rxn04339	AAGLYMT
rxn07260	AAGPH
rxn07266	AAGPT
rxn06472	AAGT
rxn00996	AAHL
rxn05779	AAMNAOR
rxn04338	AAMT
rxn04340	AAMTHT
rxn08024	AAMYL
rxn07344	AAOAH
rxn06322	AAPAT
rxn00563	AASPAH
rxn00721	AAT
rxn01423	AATAi
rxn10941	AAtr
rxn01830	AB14LACH
rxn03643	AB6P3HXLL
rxn08025	AB6PGH
rxn03481	AB6PGH2
rxn14167	ABAH
rxn00731	ABCL
rxn03120	ABGAFT
rxn03100	ABGGPGT
rxn02172	ABNTHL
rxn29406	ABT_Dt
rxn12551	ABT_Dt2
rxn12623	ABT_Lt2
rxn01204	ABTAr
rxn01391	ABTD
rxn03883	ABTDG
rxn01290	ABTLOR
rxn01291	ABTOXy
rxn05483	ABTti
rxn38747	ABTti
rxn01851	ABUTD
rxn01459	ABUTR
rxn33131	ABUTR
rxn33132	ABUTR
rxn05564	ABUTt2r
rxn08027	ABUTt2r
rxn12377	ABUTt2r
rxn34350	ABUTt2r
rxn34477	ABUTt2r
rxn01864	ABZOOR
rxn01863	ABZOR
rxn01279	AC2DHOR
rxn02978	ACABIPHAT
rxn00990	ACACCTr
rxn14087	ACACPT
rxn08030	ACACt
rxn07884	ACACT10r
rxn00178	ACACT1r
rxn19031	ACACT1r
rxn31209	ACACT1r
rxn31210	ACACT1r
rxn05484	ACACt2
rxn08029	ACACt2
rxn00874	ACACT2r
rxn03248	ACACT3r
rxn02680	ACACT4r
rxn03243	ACACT5r
